node1,node2,weight,zids
create_child_card(Card),goto_card(Card),14,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved', '98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97449 : child_cards/test_status_metrics.py/test_total_child_cards', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed', '97563 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_in_process', '98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97564 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_complete']"
goto_card(Card),set_lane(Card),17,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '98294 : child_cards/test_actual_dates.py/test_actual_dates_for_child_cards_in_different_status', '97451 : child_cards/test_status_metrics.py/test_in_process_child_cards', '97452 : child_cards/test_status_metrics.py/test_completed_child_cards', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97449 : child_cards/test_status_metrics.py/test_total_child_cards', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '97450 : child_cards/test_status_metrics.py/test_not_started_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed', '97563 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_in_process', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion', '97564 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_complete']"
set_lane(Card),update(Card),14,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '96944 : parent_card/test_delete_artifact.py/test_prm_project_deletion', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '98059 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_in_process_card', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards', '98057 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_completed_card', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed', '98058 : parent_card/test_actual_dates.py/test_actual_start_date_for_in_process_card', '97563 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_in_process', '98294 : child_cards/test_actual_dates.py/test_actual_dates_for_child_cards_in_different_status', '97564 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_complete', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk']"
verify_lk_earliest_actual_start(Project),verify_lk_latest_actual_finish(Project),4,"['97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '97564 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_complete', '97563 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_in_process', '98294 : child_cards/test_actual_dates.py/test_actual_dates_for_child_cards_in_different_status']"
create_multiple_child_cards(Card),goto_card(Card),24,"['97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97697 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_without_size', '97450 : child_cards/test_status_metrics.py/test_not_started_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion', '98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97452 : child_cards/test_status_metrics.py/test_completed_child_cards', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '97451 : child_cards/test_status_metrics.py/test_in_process_child_cards', '97589 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_without_size', '98294 : child_cards/test_actual_dates.py/test_actual_dates_for_child_cards_in_different_status', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish', '97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards']"
update(Card),goto_card(Card),25,"['97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97450 : child_cards/test_status_metrics.py/test_not_started_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion', '98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '97152 : parent_card/test_priority.py/test_update_priority', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '97452 : child_cards/test_status_metrics.py/test_completed_child_cards', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '97451 : child_cards/test_status_metrics.py/test_in_process_child_cards', '98294 : child_cards/test_actual_dates.py/test_actual_dates_for_child_cards_in_different_status', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted', '97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards']"
set_size(Card),update(Card),16,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', ' : child_cards/test_exception_metrics.py/module_setup', '97451 : child_cards/test_status_metrics.py/test_in_process_child_cards', '97452 : child_cards/test_status_metrics.py/test_completed_child_cards', '97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97449 : child_cards/test_status_metrics.py/test_total_child_cards', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '97450 : child_cards/test_status_metrics.py/test_not_started_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion']"
goto_card(Card),set_planned_start(Card),8,"['98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97589 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_without_size', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish']"
set_planned_start(Card),update(Card),7,"['98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97589 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_without_size', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish']"
goto_card(Card),set_planned_finish(Card),7,"['97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97697 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_without_size', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish']"
