node1,node2,weight,zids
update(Card),run_integration(),51,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97163 : parent_card/test_blocked_flag.py/test_block_synced_card_and_sync_again', '98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97449 : child_cards/test_status_metrics.py/test_total_child_cards', '97697 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_without_size', '97450 : child_cards/test_status_metrics.py/test_not_started_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '98059 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_in_process_card', '98058 : parent_card/test_actual_dates.py/test_actual_start_date_for_in_process_card', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion', '98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '97152 : parent_card/test_priority.py/test_update_priority', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97164 : parent_card/test_blocked_flag.py/test_unblock_synced_card', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '97451 : child_cards/test_status_metrics.py/test_in_process_child_cards', '97452 : child_cards/test_status_metrics.py/test_completed_child_cards', '98414 : parent_card/test_card_type.py/test_update_card_type_in_lk', '96944 : parent_card/test_delete_artifact.py/test_prm_project_deletion', '97589 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_without_size', '97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates', '98057 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_completed_card', '97563 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_in_process', '98294 : child_cards/test_actual_dates.py/test_actual_dates_for_child_cards_in_different_status', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish', '97564 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_complete', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk', '97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved', '97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97710 : parent_card/test_planned_dates.py/test_planned_start_planned_finish', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed']"
delete(Card),run_integration(),11,"['96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '96956 : parent_card/test_delete_artifact.py/test_recreate_deleted_card_field_not_present', '96955 : parent_card/test_delete_artifact.py/test_recreate_deleted_cards_false', '97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk']"
move_to_connected_cards_done_lane(Card),run_integration(),1,['98060 : parent_card/test_actual_dates.py/test_card_moved_to_connected_cards_done_lane']
verify_lk_url(Project),goto_lk(),1,['96953 : parent_card/test_card_creator.py/test_card_creator_in_lk']
verify_lk_card_type(Project),goto_lk(),1,['98413 : parent_card/test_card_type.py/test_card_type_field']
delete(Project),run_integration(),1,['96944 : parent_card/test_delete_artifact.py/test_prm_project_deletion']
verify_top_lane(Card),goto_prm(),1,['96944 : parent_card/test_delete_artifact.py/test_prm_project_deletion']
not_exists(Card),goto_prm(),1,['96955 : parent_card/test_delete_artifact.py/test_recreate_deleted_cards_false']
verify_default_top_lane(Card),goto_prm(),3,"['96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '96956 : parent_card/test_delete_artifact.py/test_recreate_deleted_card_field_not_present', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk']"
ProjectWithDescription(PRM),run_integration(),10,"['97158 : parent_card/test_description.py/test_description_with_special_characters', '97154 : parent_card/test_description.py/test_prm_description', ' : parent_card/test_description.py/module_setup', '97159 : parent_card/test_description.py/test_update_description_with_special_characters', '97157 : parent_card/test_description.py/test_delete_description_in_lk', '97156 : parent_card/test_description.py/test_update_description_in_prm', '97155 : parent_card/test_description.py/test_update_description_in_lk', '98359 : parent_card/test_description.py/test_description_with_max_characters', '97160 : parent_card/test_description.py/test_update_description_with_numbers', '97161 : parent_card/test_description.py/test_description_with_numbers']"
