node1,node2,weight,zids
Card(),create_child_card(Card),14,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved', '98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97449 : child_cards/test_status_metrics.py/test_total_child_cards', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed', '97563 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_in_process', '98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97564 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_complete']"
Project(),verify_lk_earliest_actual_start(Project),4,"['97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '97564 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_complete', '97563 : child_cards/test_actual_dates.py/test_actual_dates_for_child_card_in_process', '98294 : child_cards/test_actual_dates.py/test_actual_dates_for_child_cards_in_different_status']"
Card(),create_multiple_child_cards(Card),24,"['97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97697 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_without_size', '97450 : child_cards/test_status_metrics.py/test_not_started_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion', '98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97452 : child_cards/test_status_metrics.py/test_completed_child_cards', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '97451 : child_cards/test_status_metrics.py/test_in_process_child_cards', '97589 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_without_size', '98294 : child_cards/test_actual_dates.py/test_actual_dates_for_child_cards_in_different_status', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish', '97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards']"
Card(),delete(Card),11,"['96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '96956 : parent_card/test_delete_artifact.py/test_recreate_deleted_card_field_not_present', '96955 : parent_card/test_delete_artifact.py/test_recreate_deleted_cards_false', '97588 : child_cards/test_actual_dates.py/test_actual_dates_for_deleted_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk']"
Card(),set_size(Card),2,"[' : child_cards/test_exception_metrics.py/module_setup', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update']"
Project(),verify_lk_missed_start_child_cards(Project),8,"['98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97589 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_without_size', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
Project(),verify_lk_missed_finish_child_cards(Project),4,"['98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97697 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_without_size', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size']"
Project(),verify_lk_blocked_child_cards(Project),3,"['97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved']"
Project(),verify_lk_exception_count(Project),2,"['97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child']"
Card(),set_planned_finish(Card),2,"['98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child']"
